,GeneID,UniProtID,Protein Description,Protein Length (#AA),Protein Mass (Da),Subcellular Location ,Abundance Level,Average Protein Copy Number
65,ABT1,Q9ULW3,Activator of basal transcription 1,272,31079,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Nucleus, nucleolus {ECO:0000250}.",High,
66,ABTB2,Q8N961,Ankyrin repeat and BTB/POZ domain-containing protein 2,1025,113656,,Very low,210.25189456946927
67,ABTB3,A6QL63,Ankyrin repeat and BTB/POZ domain-containing protein 3,1104,120884,SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000255}.,High,
68,ACAA1,P09110,"3-ketoacyl-CoA thiolase, peroxisomal",424,44292,"SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:22057399, ECO:0000269|PubMed:25538232}. Note=Transported into peroxisomes following association with PEX7. {ECO:0000269|PubMed:22057399, ECO:0000269|PubMed:25538232}.",Medium,22838.595098638034
69,ACAA2,P42765,"3-ketoacyl-CoA thiolase, mitochondrial",397,41924,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:18371312}.,High,151079.69973332374
70,ACACA,Q13085,Acetyl-CoA carboxylase 1,2346,265554,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q5SWU9}.",Medium,20371.901984360567
71,ACACB,O00763,Acetyl-CoA carboxylase 2,2458,276541,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:10677481}.,High,
72,ACAD10,Q6JQN1,Acyl-CoA dehydrogese family member 10,1059,118834,,Medium,
73,ACAD11,Q709F0,Acyl-CoA dehydrogese family member 11,780,87264,"SUBCELLULAR LOCATION: Peroxisome {ECO:0000250|UniProtKB:Q80XL6}. Mitochondrion membrane {ECO:0000269|PubMed:21237683}. Note=Has been detected associated with mitochondrial membrane, but no matrix, in kidney and cerebellum, as well as in a neuroblastoma cell line, but not in skin fibroblasts, where it is observed in cytoplasmic vesicles (PubMed:21237683). No mitochondrial targeting signals could be predicted for any known isoform, including a putative isoform starting at Met-316. {ECO:0000269|PubMed:21237683}.",Low  ,
74,ACAD8,Q9UKU7,"Isobutyryl-CoA dehydrogese, mitochondrial",415,45070,"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:11013134, ECO:0000269|PubMed:12359132}.",Medium,21199.51226956762
75,ACAD9,Q9H845,"Complex I assembly factor ACAD9, mitochondrial",621,68760,"SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:16020546, ECO:0000269|PubMed:20816094}; Peripheral membrane protein {ECO:0000269|PubMed:16020546}; Matrix side {ECO:0000269|PubMed:16020546}. Note=Essentially associated with membranes. {ECO:0000269|PubMed:16020546}.",Medium,18209.33808284093
76,ACADM,P11310,"Medium-chain specific acyl-CoA dehydrogese, mitochondrial",421,46588,SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:16020546}.,High,214708.88734711902
77,ACADS,P16219,"Short-chain specific acyl-CoA dehydrogese, mitochondrial",412,44297,SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:Q3ZBF6}.,Low,5894.1761115509635
78,ACADSB,P45954,"Short/branched chain specific acyl-CoA dehydrogese, mitochondrial",432,47485,SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000305|PubMed:11013134}.,Medium,31146.011445675398
79,ACADVL,P49748,"Very long-chain specific acyl-CoA dehydrogese, mitochondrial",655,70390,"SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:9461620, ECO:0000269|PubMed:9599005}; Peripheral membrane protein {ECO:0000269|PubMed:9599005}.; SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion inner membrane {ECO:0000269|PubMed:17374501}; Peripheral membrane protein {ECO:0000269|PubMed:17374501}.",High,79026.63855154013
80,ACAP1,Q15027,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)",740,81536,SUBCELLULAR LOCATION: Recycling endosome membrane {ECO:0000269|PubMed:16256741}; Peripheral membrane protein {ECO:0000269|PubMed:16256741}; Cytoplasmic side {ECO:0000269|PubMed:16256741}.,Low  ,3570.2818567024337
81,ACAP2,Q15057,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",778,88029,SUBCELLULAR LOCATION: Endosome membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.,Very low,417.86942098810835
82,ACAP3,Q96P50,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3",834,92495,,Very low,822.5986262427527
83,ACAT1,P24752,"Acetyl-CoA acetyltransferase, mitochondrial",427,45200,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:1979337}.,High,264500.73140914546
84,ACAT2,Q9BWD1,"Acetyl-CoA acetyltransferase, cytosolic",397,41351,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000305|PubMed:7911016}.",High,356046.39917761984
85,ACBD3,Q9H3P7,Golgi resident protein GCP60,528,60593,"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:22124328, ECO:0000269|PubMed:27009356, ECO:0000269|PubMed:30755512, ECO:0000269|PubMed:31381608}; Peripheral membrane protein {ECO:0000305|PubMed:31381608}; Cytoplasmic side {ECO:0000250}. Mitochondrion {ECO:0000250}. Note=Also mitochondrial (via its interaction with PBR). {ECO:0000250}.",Medium,29860.233276457468
86,ACBD5,Q5T8D3,Acyl-CoA-binding domain-containing protein 5,534,60092,SUBCELLULAR LOCATION: Peroxisome membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}.,Very Low,828.451030849134
87,ACBD6,Q9BR61,Acyl-CoA-binding domain-containing protein 6,282,31151,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18268358}.,Low,2695.3742093938326
88,ACBD7,Q8N6N7,Acyl-CoA-binding domain-containing protein 7,88,9790,,Low,2882.663404750453
89,ACCS,Q96QU6,1-aminocyclopropane-1-carboxylate synthase-like protein 1 (ACC synthase-like protein 1),501,57324,,Very low,
90,ACD,Q96AP0,Adrenocortical dysplasia protein homolog,458,48967,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15181449, ECO:0000269|PubMed:25205116, ECO:0000269|PubMed:25233904}. Chromosome, telomere {ECO:0000269|PubMed:15181449, ECO:0000269|PubMed:25205116, ECO:0000269|PubMed:25233904}.",Medium,
91,ACHE,P22303,Acetylcholinesterase,614,67796,"SUBCELLULAR LOCATION: Synapse {ECO:0000269|PubMed:11985878, ECO:0000269|PubMed:1748670}. Secreted {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform T]: Nucleus. Note=Only observed in apoptotic nuclei.; SUBCELLULAR LOCATION: [Isoform H]: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}; Extracellular side {ECO:0000250}.",Low,1014.9976164182749
92,ACIN1,Q9UKV3,Apoptotic chromatin condensation inducer in the nucleus,1341,151862,"SUBCELLULAR LOCATION: Nucleus. Nucleus speckle. Nucleus, nucleoplasm. Note=Phosphorylation on Ser-1180 by SRPK2 redistributes it from the nuclear speckles to the nucleoplasm.",Medium,25530.644943085135
93,ACLY,P53396,ATP-citrate synthase,1101,120839,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:9116495}.",High,291243.3101855123
94,ACO1,P21399,Cytoplasmic aconitate hydratase,889,98399,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:1281544}.",Medium,28406.401777587133
95,ACO2,Q99798,"Aconitate hydratase, mitochondrial",780,85425,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:P16276}.,High,473616.00003591186
96,ACOT1,Q86TX2,Acyl-coenzyme A thioesterase 1,421,46277,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:16940157}.",Medium,16276.767500005852
97,ACOT13,Q9NPJ3,Acyl-coenzyme A thioesterase 13,140,14960,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9CQR4}. Mitochondrion {ECO:0000250|UniProtKB:Q9CQR4}. Nucleus {ECO:0000250|UniProtKB:Q9CQR4}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q9CQR4}. Note=During interphase, found both in the nucleus and in the cytoplasm. At mitosis, localizes to the spindle. Colocalizes with tubulin. {ECO:0000250|UniProtKB:Q9CQR4}.",High,64901.31825637672
98,ACOT2,P49753,"Acyl-coenzyme A thioesterase 2, mitochondrial",483,53218,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:16940157}.,Medium,
99,ACOT7,O00154,Cytosolic acyl coenzyme A thioester hydrolase,380,41796,"SUBCELLULAR LOCATION: [Isoform 4]: Cytoplasm, cytosol {ECO:0000305|PubMed:12435388}.; SUBCELLULAR LOCATION: [Isoform 6]: Cytoplasm, cytosol {ECO:0000305|PubMed:12435388}.; SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion {ECO:0000269|PubMed:12435388}.; SUBCELLULAR LOCATION: [Isoform 5]: Mitochondrion {ECO:0000269|PubMed:12435388}.",High,704214.1800681851
100,ACOT8,O14734,Acyl-coenzyme A thioesterase 8,319,35914,"SUBCELLULAR LOCATION: Peroxisome matrix {ECO:0000269|PubMed:10092594, ECO:0000269|PubMed:15194431}. Note=Predominantly localized in the peroxisome but a localization to the cytosol cannot be excluded. {ECO:0000269|PubMed:10092594, ECO:0000269|PubMed:15194431}.",Low,8799.50299262147
101,ACOT9,Q9Y305,"Acyl-coenzyme A thioesterase 9, mitochondrial",439,49902,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}.,Medium,30218.4935090648
102,ACOX1,Q15067,Peroxisomal acyl-coenzyme A oxidase 1,660,74424,SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:32169171}.,Medium,13556.16908685537
103,ACOX2,Q99424,Peroxisomal acyl-coenzyme A oxidase 2,681,76827,"SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:27884763, ECO:0000269|PubMed:8943006}.",Low  ,
104,ACOX3,O15254,Peroxisomal acyl-coenzyme A oxidase 3,700,77629,SUBCELLULAR LOCATION: Peroxisome {ECO:0000305}.,Low,4506.025168139867
105,ACP1,P24666,Low molecular weight phosphotyrosine protein phosphatase,158,18042,SUBCELLULAR LOCATION: Cytoplasm.,High,600976.410317039
106,ACP2,P11117,Lysosomal acid phosphatase,423,48344,"SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:2684640, ECO:0000269|PubMed:3056714}; Single-pass membrane protein {ECO:0000255}; Lumenal side {ECO:0000305|PubMed:2684640, ECO:0000305|PubMed:3056714}. Lysosome lumen. Note=The soluble form arises by proteolytic processing of the membrane-bound form. {ECO:0000269|PubMed:2684640, ECO:0000269|PubMed:3056714}.",Medium,27640.37517370912
107,ACP6,Q9NPH0,Lysophosphatidic acid phosphatase type 6,428,48886,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:10506173}.,Low  ,
108,ACSF2,Q96CM8,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial",615,68125,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.,Low,1442.0134753851735
109,ACSF3,Q4G176,"Malote--CoA ligase ACSF3, mitochondrial",576,64130,"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:21841779, ECO:0000269|PubMed:21846720}.",Low,2335.468834482225
110,ACSL1,P33121,Long-chain-fatty-acid--CoA ligase 1,698,77943,SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:24269233}; Single-pass type III membrane protein {ECO:0000250}.,Medium,6998.308310464122
111,ACSL3,O95573,Fatty acid CoA ligase Acsl3,720,80420,SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}.,High,102375.02858947027
112,ACSL4,O60488,Long-chain-fatty-acid--CoA ligase 4,711,79188,SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:24269233}; Single-pass type III membrane protein {ECO:0000250}. Cell membrane {ECO:0000269|PubMed:24269233}.,Medium,36648.68633701832
113,ACSL6,Q9UKU0,Long-chain-fatty-acid--CoA ligase 6,697,77752,SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:24269233}; Single-pass type III membrane protein {ECO:0000250}.,Very Low,198.19676533839
114,ACSS1,Q9NUB1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",689,74857,SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:16788062}.,Low  ,
115,ACSS2,Q9NR19,"Acetyl-coenzyme A synthetase, cytoplasmic",701,78580,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:10843999, ECO:0000269|PubMed:28003429}.",Medium,9800.999728075887
116,ACSS3,Q9H6R3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",686,74778,SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:28003429}.,Very low,541.3551291389464
117,ACTA1,P68133,"Actin, alpha skeletal muscle",377,42051,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",Low,2965.826164022844
118,ACTA2,P62736,"Actin, aortic smooth muscle",377,42009,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",High,369733.6962676011
119,ACTB,P60709,"Actin, cytoplasmic 1",375,41737,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11687588, ECO:0000269|PubMed:17289661}. Nucleus {ECO:0000269|PubMed:11687588, ECO:0000269|PubMed:29925947}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. {ECO:0000269|PubMed:17289661}.",High,82603908.2708877
120,ACTBL2,Q562R1,Beta-actin-like protein 2,376,42003,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.",Medium,15334.131341956892
121,ACTC1,P68032,"Actin, alpha cardiac muscle 1",377,42019,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",High,
122,ACTG1,P63261,"Actin, cytoplasmic 2",375,41793,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:28493397}.",High,878620.1320557797
123,ACTG2,P63267,"Actin, gamma-enteric smooth muscle",376,41877,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",High,
124,ACTL6A,O96019,Actin-like protein 6A,429,47461,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18026119}.,High,83838.04782228873
125,ACTL6B,O94805,Actin-like protein 6B,426,46877,SUBCELLULAR LOCATION: Nucleus {ECO:0000303|PubMed:26601204}.,High,54027.541061536445
126,ACTMAP,Q5BKX5,UPF0692 protein C19orf54,351,37779,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:36173861}.,Medium,
127,ACTN1,P12814,Alpha-actinin-1,892,103058,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:24069336, ECO:0000269|PubMed:7750553}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:7750553}. Cell membrane {ECO:0000250|UniProtKB:Q9Z1P2}. Cell junction {ECO:0000250|UniProtKB:Q9Z1P2}. Cell projection, ruffle {ECO:0000250|UniProtKB:Q7TPR4}. Note=Colocalizes with MYOZ2 and PPP3CA at the Z-line of heart and skeletal muscle. Colocalizes with PSD in membrane ruffles and central reticular structures. {ECO:0000250|UniProtKB:Q7TPR4}.",Medium,22537.15464771199
128,ACTN2,P35609,Alpha-actinin-2,894,103854,"SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:11171996, ECO:0000269|PubMed:19932097, ECO:0000269|PubMed:30701273}. Note=Colocalizes with MYOZ1 and FLNC at the Z-lines of skeletal muscle.",Very low,286.64871012131164
129,ACTN3,Q08043,Alpha-actinin-3 (Alpha-actinin skeletal muscle isoform 3) (F-actin cross-linking protein),901,103241,,Very low,
130,ACTN4,O43707,Alpha-actinin-4,911,104854,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22351778, ECO:0000269|PubMed:9508771}. Cytoplasm {ECO:0000269|PubMed:22351778, ECO:0000269|PubMed:9508771}. Cell junction {ECO:0000250|UniProtKB:P57780}. Cytoplasm, cytoskeleton, stress fiber {ECO:0000269|PubMed:9508771}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:P57780}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. Expressed in the perinuclear rim and manchette structure in early elongating spermatids during spermiogenesis (By similarity). Nuclear translocation can be induced by the PI3 kinase inhibitor wortmannin or by cytochalasin D. Exclusively localized in the nucleus in a limited number of cell lines (breast cancer cell line MCF-7, oral floor cancer IMC-2, and bladder cancer KU-7). {ECO:0000250|UniProtKB:P57780, ECO:0000269|PubMed:17289661, ECO:0000269|PubMed:9508771}.",High,200344.60151531833
131,ACTR10,Q9NZ32,Actin-related protein 10,417,46307,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:I3LHK5}.",High,57782.004260894006
132,ACTR1A,P61163,Alpha-centractin,376,42614,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P85515}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843}. Cytoplasm, cell cortex {ECO:0000269|PubMed:22327364}.",High,399805.98132474965
133,ACTR1B,P42025,Beta-centractin,376,42293,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome.",High,240366.37554039346
134,ACTR2,P61160,Actin-related protein 2,394,44761,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9000076}. Cell projection {ECO:0000269|PubMed:9000076}. Nucleus {ECO:0000269|PubMed:17220302, ECO:0000269|PubMed:29925947}.",High,197655.55250170483
135,ACTR3,P61158,Actin-related protein 3,418,47371,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19109554}. Cell projection {ECO:0000269|PubMed:9230079}. Nucleus {ECO:0000269|PubMed:16767080, ECO:0000269|PubMed:17220302, ECO:0000269|PubMed:29925947}. Note=In pre-apoptotic cells, colocalizes with MEFV in large specks (pyroptosomes) (PubMed:19109554).",High,265395.1997609602
136,ACTR3B,Q9P1U1,Actin-related protein 3B,418,47608,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Cell projection {ECO:0000250}.",High,
137,ACTR5,Q9H9F9,Actin-related protein 5,607,68297,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18026119, ECO:0000269|PubMed:18163988, ECO:0000269|PubMed:19014934}. Cytoplasm {ECO:0000269|PubMed:19014934}. Note=Predominantly nuclear but undergoes nucleo-cytoplasmic shuttling (PubMed:19014934). Localized to interphase nuclei, but not nucleoli; excluded from chromosomes as mitosis progresses (PubMed:18163988).",Medium,
138,ACTR6,Q9GZN1,Actin-related protein 6,396,45810,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P45890}. Nucleus {ECO:0000269|PubMed:16487625}. Nucleus, nucleolus {ECO:0000269|PubMed:26164235}. Note=Colocalizes with HP1 family proteins at pericentric heterochromatin. {ECO:0000269|PubMed:16487625}.",Low,2628.9912425393322
139,ACTR8,Q9H981,Actin-related protein 8,624,70484,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18163988}. Chromosome {ECO:0000269|PubMed:18163988}. Note=Specifically localizes to mitotic chromosomes.,High,
140,ACVR1,Q04771,Activin receptor type-1,509,57153,SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.,Low  ,
141,ACVR1B,P36896,Activin receptor type-1B,505,56807,SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.,High,
142,ACVR2A,P27037,Activin receptor type-2A,513,57848,SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.,Very Low,960.7170732782255
143,ACVR2B,Q13705,Activin receptor type-2B,512,57724,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:31665064}; Single-pass type I membrane protein {ECO:0000250}.,Low  ,
144,ACY1,Q03154,Aminoacylase-1,408,45885,SUBCELLULAR LOCATION: Cytoplasm.,Low,3834.387602934583
145,ACYP1,P07311,Acylphosphatase-1,99,11261,,High,134909.6231328428
